Ident, Complex G, protein G, Ligand G, Exp deltaG, Calc deltaG_offset, Error_offset, Abs Error_offset, Calc deltaG, Error, Abs Error, Calc deltaE, Calc -TdeltaS, Calc deltaU+W, Calc deltaU, Calc deltaW, Calc deltaHO_PE, Calc deltaPB, Calc deltaSA, Calc deltaValence, Calc deltaCoul, Calc deltaVdW, Calc deltaVdW6, Calc deltaVdW12, Calc deltaBond, Calc deltaAngle, Calc deltaPdihed, Calc deltaIdihed, Calc deltaTether, Converged, Crashed
BRD4_p4a_tleap--ligand-1,-399.141549378,-435.014543347,43.713077836,0.0,-8.9185335561,-8.9185335561,8.9185335561,-7.840083867,-7.840083867,7.840083867,-20.7909445819,12.950860714,-22.6238726781,-33.4235006119,10.7996279338,1.7884858032,14.2421130641,-3.4424851297,0.5206785532,-6.2405766072,-27.7036025581,-51.0155134842,23.3119109253,-0.1341101745,0.5135225455,0.1069463363,0.0343198468,0.0,yes,no
BRD4_p4a_tleap--ligand-2,-462.651762973,-435.014543347,-18.9040793419,0.0,-9.8115899732,-9.8115899732,9.8115899732,-8.7331402841,-8.7331402841,8.7331402841,-22.8598787842,14.1267385001,-24.6813749447,-36.840920984,12.1595460393,1.7884858035,15.7175760044,-3.558029965,1.4626020318,-9.5401184653,-28.7634045503,-56.2940060081,27.5306014586,-0.0021952704,0.3376211892,0.7673124979,0.3598636146,0.0,yes,no
BRD4_p4a_tleap--ligand-3,-294.717684907,-435.014543347,145.239976313,-5.95,-6.0215675621,-0.0715675621,0.0715675621,-4.943117873,1.006882127,1.006882127,-20.0784058841,15.1352880108,-21.9490141372,-37.3473940611,15.3983799239,1.7884858036,19.5287215571,-4.1303416328,1.3811169217,-10.4209483754,-28.3075626076,-51.4868427071,23.1792800996,-0.2428686529,-0.3398615218,1.9799526721,-0.0161055761,0.0,yes,no
BRD4_p4a_tleap--ligand-4,-425.853556854,-435.014543347,17.7888611606,-6.36,-9.7063243567,-3.3463243567,3.3463243567,-8.6278746676,-2.2678746676,2.2678746676,-19.2140218281,10.5861471595,-21.0587326157,-32.5005627472,11.4418301315,1.7884858037,14.5545204185,-3.1126902865,0.619244808,-11.767722271,-21.3520852849,-36.8501303647,15.4980450804,0.1346830946,0.4484674024,-0.0582682849,0.0943625969,0.0,yes,no
BRD4_p4a_tleap--ligand-5,-355.078298195,-435.014543347,87.3802864465,-7.40,-8.5224909836,-1.1224909836,1.1224909836,-7.4440412945,-0.0440412945,0.0440412945,-23.439421443,15.9953801485,-25.2584716474,-36.2998221022,11.0413504548,1.7884858037,15.0582278045,-4.0168773498,5.2717887506,-7.6969126394,-33.8746982147,-62.8567080758,28.9820098613,0.2803026772,4.2878634887,0.4637459852,0.2398766002,0.0,yes,no
BRD4_p4a_tleap--ligand-6,-370.577618819,-435.014543347,68.1462032409,-7.84,-4.787728402,3.052271598,3.052271598,-3.7092787129,4.1307212871,4.1307212871,-22.9460553901,19.2367766772,-24.8128065604,-57.2484932912,32.4356867308,1.7884858033,37.0424277389,-4.6067410076,4.2852497222,-33.3959987021,-28.1377443121,-63.3822723091,35.2445279978,0.3895432779,0.4544334993,3.3622507032,0.079022242,0.0,yes,no
BRD4_p4a_tleap--ligand-7,-332.851499568,-435.014543347,114.659906975,-8.16,-13.5753128851,-5.4153128851,5.4153128851,-12.496863196,-4.336863196,4.336863196,-30.1598412949,17.6629780988,-31.9553903428,-40.4111182098,8.455727867,1.7884858037,12.7306023181,-4.2748744502,0.5418660393,-5.9520027487,-35.0009814998,-70.9301514339,35.9291699345,-0.0709176075,2.9918728505,-2.2371588521,-0.1419303517,0.0,yes,no
BRD4_p4a_tleap--ligand-8,-399.436969491,-435.014543347,39.633301033,-8.99,-5.1341768661,3.8558231339,3.8558231339,-4.055727177,4.934272823,4.934272823,-19.852215133,15.7964879561,-21.7124159747,-39.5432224826,17.8308065079,1.7884858034,22.1787759758,-4.3479694671,4.0300838303,-16.6563177907,-26.9169885216,-55.0801723338,28.1631838126,0.2503145308,1.7476719977,1.956031805,0.0760654969,0.0,yes,no
BRD4_p4a_tleap--ligand-9,-352.659191548,-435.014543347,88.9841926468,-9.64,-7.7072905369,1.9327094631,1.9327094631,-6.6288408478,3.0111591522,3.0111591522,-25.6987106716,19.0698698238,-27.5493115485,-32.1176889279,4.5683773794,1.7884858033,9.3880319689,-4.8196545893,0.00582066940001,5.1770962814,-37.3006058787,-74.7938281453,37.4932222666,-0.3440176067,-1.631102749,1.5096457434,0.4712952819,0.0,yes,no
BRD4_p4a_tleap--ligand-10,-391.370270679,-435.014543347,51.8609313864,-10.41,-9.2951084075,1.1148915925,1.1148915925,-8.2166587184,2.1933412816,2.1933412816,-25.2804281593,17.0637694409,-27.1051343779,-33.979131525,6.8739971471,1.7884858028,11.451872693,-4.577875545,3.2758040497,-2.8136542736,-34.4412813014,-68.2053943417,33.7641130406,-0.0723063909,0.2011158714,2.8686298024,0.2783647671,0.0,yes,no
