run, type, Ident, FE, AvgE, S, U, W, HO_PE, PB, SA, Valence, Coulomb, VdW, VdW6, VdW12, Bond, Angle, Pdihed, Idihed, Tether, RunTime, WallTime, Converged, Crashed
vm2,complex,BRD4_p4a_tleap--ligand-1,-399.141549378,-191.184309224,-207.957240155,181.766637186,-517.780250615,144.867350102,-536.255909456,18.4756588414,606.891510148,-436.541317163,11.4164442008,-728.163110379,739.579554579,18.7636321791,241.188563249,345.8610842,1.0782305206,0.0,2301.61,2303.11,yes,no
vm2,complex,BRD4_p4a_tleap--ligand-2,-462.651762973,-257.281219195,-205.370543778,114.742892418,-518.630576389,146.655835906,-537.116710648,18.486134259,614.222763814,-510.105055664,10.6251842682,-734.365092513,744.990276782,18.9638691808,246.70210677,346.731460519,1.8253273437,0.0,2934.57,2936.37,yes,no
vm2,complex,BRD4_p4a_tleap--ligand-3,-294.717684907,-121.780179166,-172.937505741,232.42770086,-521.430882409,167.223422649,-540.405122057,18.9742396483,661.256223073,-442.791250224,13.9627280109,-755.878070897,769.840798908,20.3183622616,257.707345615,382.147544847,1.0829703489,0.0,6557.38,6566.73,yes,no
vm2,complex,BRD4_p4a_tleap--ligand-4,-425.853556854,-208.072745997,-217.780810858,167.534957847,-516.871781434,141.290378495,-535.412295607,18.5405141732,597.249265914,-445.3794811,15.6651730323,-710.882894915,726.548067948,18.5719806652,230.764021401,346.782168179,1.1310956697,0.0,2943.99,2949.7,yes,no
vm2,complex,BRD4_p4a_tleap--ligand-5,-355.078298195,-164.296085881,-190.782212314,199.577478747,-518.525348231,154.704022023,-536.923252905,18.3979046736,610.467164096,-413.432752068,2.5430667178,-754.825014335,757.368081053,19.792939484,240.778479244,348.539574579,1.3561707897,0.0,2880.32,2884.37,yes,no
vm2,complex,BRD4_p4a_tleap--ligand-6,-370.577618819,-194.692187957,-175.885430862,144.585419102,-504.708260347,165.434936845,-523.451431241,18.7431708943,616.726598088,-487.838536026,15.6973570393,-756.153250978,771.850608018,20.0197725363,236.489549533,359.099605945,1.1176700737,0.0,7911.04,7916.15,yes,no
vm2,complex,BRD4_p4a_tleap--ligand-7,-332.851499568,-140.872220105,-191.979279463,223.798900848,-519.299661488,154.704022023,-537.685116449,18.3854549617,636.722252599,-417.679877465,4.7565257146,-761.011949549,765.768475264,19.8177188154,253.514983345,361.393815994,1.9957344444,0.0,2931.04,2935.91,yes,no
vm2,complex,BRD4_p4a_tleap--ligand-8,-399.436969491,-212.674483194,-186.762486297,146.097525915,-517.936377693,159.175236532,-536.523793625,18.5874159326,608.762945148,-480.857146386,18.1917271536,-743.298104422,761.489831576,19.8001888477,237.613212917,350.235229581,1.1143138022,0.0,6064.8,6067.9,yes,no
vm2,complex,BRD4_p4a_tleap--ligand-9,-352.659191548,-185.271771644,-167.387419904,168.293318756,-525.239239508,171.694637158,-543.875448232,18.6362087239,652.456783425,-479.978872681,-4.184591988,-787.78326505,783.598673062,19.0288310838,250.012683996,381.180676756,2.2345915893,0.0,5833.97,5841.11,yes,no
vm2,complex,BRD4_p4a_tleap--ligand-10,-391.370270679,-205.503067333,-185.867203346,158.763521904,-526.078159728,161.857965237,-544.548693177,18.4705334497,639.872715723,-480.119896249,-0.9892975703,-766.570535581,765.581238011,19.3231559647,246.380738702,372.74650737,1.4223136865,0.0,3458.25,3460.24,yes,no
