run, type, Ident, FE, AvgE, S, U, W, HO_PE, PB, SA, Valence, Coulomb, VdW, VdW6, VdW12, Bond, Angle, Pdihed, Idihed, Tether, RunTime, WallTime, Converged, Crashed
vm2,ligand,ligand-1,43.713077836,21.8611322659,21.85194557,5.2546362629,-4.8553958348,21.4618296448,-7.5950694811,2.7396736463,15.1147782988,-15.5627914648,5.7026494289,-13.0009719048,18.7036213337,0.8935046237,11.3003805665,2.9137061857,0.0071869228,0.0,9.87,9.99,yes,no
vm2,ligand,ligand-2,-18.9040793419,-42.1668435028,23.2627641609,-58.351688133,-7.0656397143,23.2503154485,-9.9313336134,2.8656938992,21.5041084862,-85.8269881077,5.9711914885,-13.9244615149,19.8956530034,0.9618267213,16.9898254438,3.1237163431,0.4287399781,0.0,18.72,18.87,yes,no
vm2,ligand,ligand-3,145.239976313,90.5527236261,54.6872526872,59.8395933861,-13.1047796189,43.8179021914,-17.0308905751,3.9261109563,68.6190528553,-17.6323527576,8.8528932885,-40.2446031999,49.0974964884,2.5569931846,28.6725469998,37.3271604969,0.062352174,0.0,64.02,64.12,yes,no
vm2,ligand,ligand-4,17.7888611606,3.3957727391,14.3930884215,-9.8999809408,-4.5891288515,17.8848580373,-7.0638629865,2.4747341349,5.37396781,-18.873809738,3.5998609872,-9.8861395603,13.4860005476,0.4330598407,0.9408938616,4.0000047859,9.3218e-06,0.0,3.34,3.41,yes,no
vm2,ligand,ligand-5,87.3802864465,51.39783247,35.9824539765,25.9417993142,-5.8422159718,31.2985015653,-9.0785276705,3.2363116986,13.9393220494,9.0021096624,3.0003676025,-27.8216812692,30.8220488717,1.5083990769,7.1159556183,5.2353969158,0.0795704385,0.0,19.2,19.45,yes,no
vm2,ligand,ligand-6,68.1462032409,20.5083643411,47.6378388998,-8.1015891418,-13.4194643638,42.0294163877,-17.5909059409,4.1714415771,21.1852950698,-39.7045882329,10.4177040214,-28.6243536789,39.0420577002,1.6259915285,6.6604558967,12.8969235638,0.0019240807,0.0,149.66,150.12,yes,no
vm2,ligand,ligand-7,114.659906975,81.5421180979,33.1177888772,54.2745175228,-4.030906641,31.2985015653,-7.5127657281,3.4818590871,44.9243332637,3.0100743747,6.3401098844,-25.9351731251,32.2752830095,1.884398693,21.1484503575,20.7905431681,1.1009410451,0.0,23.96,24.29,yes,no
vm2,ligand,ligand-8,39.633301033,-0.567771153,40.2010721859,-24.2947531374,-12.0427014869,35.7697160746,-15.7996165618,3.7569150749,13.4768080217,-49.4628795043,11.6913183452,-24.0713070982,35.7626254434,1.545636587,6.4908807823,5.438766098,0.0015245543,0.0,35.03,35.51,yes,no
vm2,ligand,ligand-9,88.9841926468,32.6814359356,56.3027567112,-9.5244938511,-6.0831341734,48.2891167007,-10.3605271619,4.2773929884,61.1949094596,-70.4180198714,-0.3013834393,-48.8428119147,48.5414284754,1.3686109606,22.269126608,36.8305993346,0.7265725564,0.0,56.18,56.36,yes,no
vm2,ligand,ligand-10,51.8609313864,12.0318577343,39.8290736521,-17.192848106,-9.2276741611,38.4524447802,-13.097612831,3.8699386699,45.3408583773,-62.5682928844,0.0345864011,-34.2185162493,34.2531026504,1.3912246257,16.8049626936,27.0374458896,0.1072251684,0.0,30.89,30.96,yes,no
