run, type, Ident, FE, AvgE, S, U, W, HO_PE, PB, SA, Valence, Coulomb, VdW, VdW6, VdW12, Bond, Angle, Pdihed, Idihed, Tether, RunTime, WallTime, Converged, Crashed
vm2,complex,MGO--bam,503.074411467,314.255811659,188.818599808,266.881486623,-78.7128445763,126.088249163,-84.9641791426,6.2513345663,90.349911923,182.406361261,-5.8747865609,-131.631878249,125.757091688,4.279507714,10.5265753993,75.5438288097,0.0,0.0,963.36,964.84,yes,no
vm2,complex,MGO--but,438.456745619,256.724341273,181.732404346,202.554691601,-68.3404871745,122.511277556,-74.3456673459,6.0051801713,94.1344704925,116.453438861,-8.0332177521,-140.748311519,132.715093766,4.7857396551,12.4870333816,76.859903407,0.0017940488,0.0,624.6,625.12,yes,no
vm2,complex,MGO--cbu,498.794122147,319.160503844,179.633618304,226.672601421,-30.0233501828,122.511277556,-36.2175709592,6.1942207764,94.3180718484,139.754556023,-7.4000264504,-129.873081341,122.473054891,4.1752674459,10.8234908185,79.3193135839,0.0,0.0,1102.98,1105.02,yes,no
vm2,complex,MGO--chp,526.867358572,329.485053998,197.382304574,229.171223006,-30.2456354636,130.559463672,-36.5344823304,6.2888468668,99.9286689003,139.844787926,-10.6022338206,-143.927849447,133.325615627,4.3180350281,13.3168349573,82.2937989148,0.0,0.0,1017.88,1018.7,yes,no
vm2,complex,MGO--coc,541.668456913,337.507888345,204.160568567,234.516883591,-30.2511530337,133.242192378,-36.5562376601,6.3050846264,104.113632177,141.701742528,-11.2984911142,-150.145413791,138.846922676,4.5901999671,15.3367463425,84.1866858679,0.0,0.0,953.56,954.21,yes,no
vm2,complex,MGO--cpe,510.472922548,325.281037709,185.191884839,230.210518243,-30.12347147,125.194006261,-36.328165846,6.204694376,102.315388849,138.173633877,-10.2785044829,-134.651076961,124.372572478,4.1199762775,13.524904683,84.6705078882,0.0,0.0,739.1,739.7,yes,no
vm2,complex,MGO--ham,521.15319591,319.348968621,201.804227289,250.717356714,-62.820974454,131.453706574,-68.8274420331,6.0064675791,90.1605882485,172.826742038,-12.2699735725,-143.694938706,131.424965134,4.0511825934,9.941695358,76.1677102972,0.0,0.0,921.53,923.2,yes,no
vm2,complex,MGO--hep,460.912956024,264.61190372,196.301052304,202.123426151,-68.0702205473,130.559463672,-74.2131582633,6.142937716,95.6819919537,118.449271036,-12.0078368383,-149.452268665,137.444431827,4.6902186489,11.9889630149,78.9995411839,0.0032691061,0.0,911.71,912.38,yes,no
vm2,complex,MGO--hex,452.392257258,260.121369353,192.270887905,198.822125868,-66.5752916603,127.876734967,-72.6037065222,6.0284148619,95.1440897132,114.699290331,-11.0212541763,-148.076543889,137.055289713,4.7668554259,12.1637890379,78.2117538797,0.0016913697,0.0,745.55,746.1,yes,no
vm2,complex,MGO--hp6,455.819109529,262.831646615,192.987462914,198.944130248,-64.8819838022,128.770977869,-70.9018620571,6.0198782549,98.1185802039,112.772825845,-11.9472758005,-150.516161731,138.568885931,4.779697034,11.9705379647,81.3659686389,0.0023765664,0.0,1040.16,1041.76,yes,no
vm2,complex,MGO--hpa,528.904968053,324.506358904,204.398609149,260.479067004,-70.1080763207,134.13643528,-76.2943835589,6.1863072382,90.1073616021,184.684766781,-14.3130613796,-143.305953469,128.99289209,4.0528132884,9.806884347,76.2476639667,0.0,0.0,744.43,744.92,yes,no
vm2,complex,MGO--hx2,451.077284146,266.92397614,184.153308006,211.690875678,-70.8551660001,126.088249163,-77.119916113,6.2647501129,90.8552845736,128.375837864,-7.5402467596,-139.915108919,132.374862159,4.6349359224,13.1198832355,73.0753536024,0.0251118133,0.0,1315.09,1317.46,yes,no
vm2,complex,MGO--hx3,453.482163482,265.090827163,188.391336319,204.094036658,-65.0914104035,126.088249163,-71.0716507731,5.9802403697,104.177811753,109.479270108,-9.5630452033,-146.550500434,136.98745523,4.8602531284,12.4010520812,86.9135162724,0.0029902712,0.0,669.15,669.67,yes,no
vm2,complex,MGO--mba,489.018243077,291.92267994,197.095563137,223.909983941,-60.7579335704,128.770977869,-66.7762025064,6.0182689361,90.1034433005,142.020728066,-8.2141874251,-137.545982746,129.331795321,4.0692313024,10.4584572281,75.5757547699,0.0,0.0,881.51,883.09,yes,no
vm2,complex,MGO--mha,507.252424681,302.164629478,205.087795203,247.123100534,-79.0950394199,134.13643528,-85.4389160446,6.3438766247,92.1477254226,165.845383457,-10.8700083451,-142.422007625,131.55199928,4.2611361402,10.9992372511,76.8873520313,0.0,0.0,1215.27,1216.09,yes,no
vm2,complex,MGO--mhp,514.309991997,301.972774626,212.337217371,224.896991676,-59.7421620664,136.819163985,-65.8314027417,6.0892406753,91.6633099906,147.927142206,-14.6934605212,-151.033841887,136.340381365,4.0636015503,10.4665198535,77.1331885868,0.0,0.0,807.17,807.75,yes,no
vm2,complex,MGO--nmb,541.676023717,345.276723405,196.399300311,275.978390958,-59.4730913084,128.770977869,-65.6147739146,6.1416826063,89.3136099411,195.462032212,-8.7972511949,-135.708779961,126.911528766,4.15316467,9.8991215933,75.2613236777,0.0,0.0,788.22,788.79,yes,no
vm2,complex,MGO--nmh,558.423237362,352.100088256,206.323149106,275.634912301,-57.6698092526,134.13643528,-63.752277679,6.0824684264,90.5177183984,199.007334921,-13.8901410186,-145.900014585,132.009873567,4.1095420927,10.0022862705,76.4058900352,0.0,0.0,931.13,931.76,yes,no
vm2,complex,MGO--oam,537.018875083,326.837440392,210.181434691,254.708407019,-64.6892972814,136.819163985,-70.8377810822,6.1484838008,91.2461759268,178.79111642,-15.3288853273,-147.844938818,132.516053491,4.0527515446,9.8205190575,77.3729053246,0.0,0.0,1098.54,1100.45,yes,no
vm2,complex,MGO--oct,469.01211395,271.91218816,197.099925791,215.995213875,-77.3252463884,133.242192378,-83.68158509,6.3563387016,95.0065991459,134.904861087,-13.9162463586,-146.912349393,132.996103034,4.2728445945,12.0689894748,78.6607154745,0.004049602,0.0,947.27,948.77,yes,no
vm2,complex,MGO--pam,512.621980869,315.866357635,196.755623234,250.962552443,-63.8660502351,128.770977869,-69.8561809889,5.9901307538,89.566937668,172.126242739,-10.7306279639,-139.985173343,129.254545379,4.0717395228,9.9996854133,75.4955127319,0.0,0.0,725.25,726.56,yes,no
