run, type, Ident, FE, AvgE, S, U, W, HO_PE, PB, SA, Valence, Coulomb, VdW, VdW6, VdW12, Bond, Angle, Pdihed, Idihed, Tether, RunTime, WallTime, Converged, Crashed
vm2,ligand,bam,14.6366508101,-2.2080762941,16.8447271042,45.1313402443,-60.7525162876,13.413643528,-62.5092100301,1.7566937425,1.0442905218,43.8751069432,0.2119427793,-2.8153550201,3.0272977994,0.0980106948,0.4603810926,0.4858987344,0.0,0.0,3.81,4.06,yes,no
vm2,ligand,but,-44.7436802607,-49.5416048275,4.7979245667,7.6519032441,-67.0258562087,9.8366719205,-68.7539734642,1.7281172555,5.874157691,1.449301524,0.3284440292,-3.1374174387,3.4658614679,0.062425475,2.2803000089,3.5308364464,0.0005957606,0.0,2.55,2.65,yes,no
vm2,ligand,cbu,15.8856273721,6.9377377445,8.9478896275,-0.0436778938,-2.8552650895,9.8366719205,-4.4509672327,1.5957021432,6.532752946,-7.5791922345,1.0027613947,-2.2016147017,3.2043760965,0.0628192682,0.8869201072,5.5830135706,0.0,0.0,3.48,3.75,yes,no
vm2,ligand,chp,45.8270758262,21.0223530484,24.8047227778,5.1265875704,-1.989089063,17.8848580373,-3.9941619716,2.0050729087,12.1861722764,-9.2001708112,2.1405861052,-9.3211014638,11.461687569,0.2327897028,2.8255264966,9.127856077,0.0,0.0,16.91,17.37,yes,no
vm2,ligand,coc,60.2697344124,29.9081230994,30.361611313,11.3270494485,-1.9865064355,20.5675867429,-4.118469727,2.1319632916,17.1466739058,-8.5768430719,2.7572186147,-12.6172678293,15.3744864439,0.4244913751,5.0520997695,11.6700827612,0.0,0.0,24.23,24.92,yes,no
vm2,ligand,cpe,29.616657858,15.4157222603,14.2009355978,5.5035145677,-2.6071443345,12.5194006261,-4.3423542902,1.7352099556,14.040907215,-9.1292475284,0.5918548812,-3.4267146788,4.01856956,0.0577180198,3.9943676256,9.9888215695,0.0,0.0,4.59,5.02,yes,no
vm2,ligand,ham,36.6945911977,10.9846341047,25.709957093,47.6605850401,-55.4546547422,18.7791009392,-57.5894017432,2.134747001,2.2209794668,44.881685019,0.5579205543,-5.5306838646,6.0886044189,0.155210388,0.6395766809,1.426192398,0.0,0.0,12.71,13.12,yes,no
vm2,ligand,hep,-17.6424215123,-35.7603984514,18.1179769391,6.8799880586,-60.5235902397,17.8848580373,-62.8379222474,2.3143320077,7.5452797147,-1.4914448931,0.8261532371,-7.1388583286,7.9650115656,0.1317196505,2.4865914432,4.9262877575,0.0006808635,0.0,15.21,15.74,yes,no
vm2,ligand,hex,-26.6768370898,-40.3513358796,13.6744987898,6.8190284243,-62.3705813514,15.2021293317,-64.4814569443,2.1108755929,6.9778966855,-0.8199056495,0.6610373883,-5.7955368326,6.456574221,0.1072334039,2.4105274722,4.4595532897,0.0005825198,0.0,8.08,8.28,yes,no
vm2,ligand,hp6,-23.0733009802,-36.3512985237,13.2779975435,7.6587930966,-60.1057083802,16.0963722336,-62.3407825822,2.235074202,9.0382742807,-2.1404791664,0.7609979824,-6.4839803859,7.2449783683,0.1198773271,2.5512742751,6.3663238252,0.0007988532,0.0,23.06,23.6,yes,no
