Ident, Complex G, host G, Ligand G, Exp deltaG, Calc deltaG_offset, Error_offset, Abs Error_offset, Calc deltaG, Error, Abs Error, Calc deltaE, Calc -TdeltaS, Calc deltaU+W, Calc deltaU, Calc deltaW, Calc deltaHO_PE, Calc deltaPB, Calc deltaSA, Calc deltaValence, Calc deltaCoul, Calc deltaVdW, Calc deltaVdW6, Calc deltaVdW12, Calc deltaBond, Calc deltaAngle, Calc deltaPdihed, Calc deltaIdihed, Calc deltaTether, Converged, Crashed
Cpptraj--ben,587.104565975,605.924008525,-14.8900747247,,,,,-3.9293678253,,,-19.9102719649,15.9809041395,-21.7047816797,-58.4356095502,36.7308278705,1.7884858046,38.6861035461,-1.9552756755,3.1288464011,-45.383330482,-16.1811254694,-40.3478808272,24.1667553569,0.4561818121,0.8252488317,1.8249299535,0.0224858046,0.0,yes,no
Cpptraj--cbu,621.637010892,605.924008525,15.8765505667,,,,,-0.1635481997,,,-11.1709146102,11.0073664105,-12.9594355099,-17.9357213271,4.9762858172,1.7884858045,6.5717869952,-1.595501178,1.1718639586,-8.1311592312,-10.9764260558,-19.9895554197,9.0131293642,-0.168150444,-2.012086343,3.3521007464,0.0,0.0,yes,no
Cpptraj--chp,647.449739378,605.924008525,45.4753289238,,,,,-3.9495980708,,,-19.1902195853,15.2406215136,-20.9787612318,-25.8178736955,4.8391124637,1.7884858037,6.7848656664,-1.9457532026,3.0641287019,-9.7397381577,-19.1422642398,-32.8631208115,13.7208565719,-0.1671027765,-3.8188267685,7.0500582476,0.0,0.0,yes,no
Cpptraj--coc,662.034099519,605.924008525,60.2641564017,,,,,-4.1540654077,,,-19.5318115049,15.3777460973,-21.320355633,-26.5212403896,5.2008847566,1.7884858041,7.3429343206,-2.142049564,5.7871659387,-11.1833515705,-21.1250547581,-34.5778318179,13.4527770601,-0.4090747428,-4.9615013106,11.1577419926,0.0,0.0,yes,no
Cpptraj--cpe,632.061076112,605.924008525,29.6429484373,,,,,-3.5058808503,,,-15.7605130597,12.2546322094,-17.549047207,-22.5461113757,4.9970641687,1.7884858039,6.756293496,-1.7592293271,1.1491438769,-7.845961486,-15.8492937666,-28.073777817,12.2244840514,-0.161885043,-1.9890536636,3.3000825851,0.0,0.0,yes,no
Cpptraj--ham,644.602788017,605.924008525,36.7271478937,,,,,1.9516315983,,,-13.0369075455,14.9885391438,-14.8254296995,-38.6033046496,23.7778749501,1.7884858038,25.8883076016,-2.1104326514,2.6788332136,-27.8705054069,-13.4116324564,-26.5138493088,13.1022168525,-0.4250388217,-3.7931172072,6.8969892435,0.0,0.0,yes,no
Cpptraj--hep,581.770587518,605.924008525,-17.6454658327,,,,,-6.5079551743,,,-26.7394555289,20.2315003536,-28.5262575176,-62.3678732666,33.841615749,1.7884858037,36.2280848304,-2.3864690812,1.8147232101,-48.7789043672,-15.4036921092,-39.394025604,23.9903334945,0.3566297045,-2.0124000883,3.4643433537,0.0061502412,0.0,yes,no
Cpptraj--hex,573.22459731,605.924008525,-26.7024619834,,,,,-5.9969492316,,,-24.3360340538,18.3390848232,-26.1246424486,-58.7501277271,32.6254852785,1.7884858043,34.8293033424,-2.2038180638,1.4036814156,-46.1677214387,-13.9860877041,-36.5257728971,22.539685193,0.4226356077,-1.081181223,2.0589419747,0.0032850572,0.0,yes,no
Cpptraj--m4c,633.820842503,605.924008525,32.9909893242,,,,,-5.0941553462,,,-19.5656746747,14.4715193286,-21.35420826,-26.0743826259,4.7201743659,1.7884858037,6.8412448428,-2.1210704768,2.7664177112,-9.6141404666,-19.2266598701,-34.7520125515,15.525352681,-0.1063062962,-2.2761114408,5.1488354493,0.0,0.0,yes,no
Cpptraj--m4t,634.759706955,605.924008525,33.3751227363,,,,,-4.5394243063,,,-16.8195020329,12.2800777256,-18.6080655035,-23.7765178704,5.1684523669,1.7884858037,7.1875024844,-2.0190501174,3.9080873323,-9.2509613631,-18.4336438396,-29.3417914855,10.9081476459,-0.4229545018,-4.0325411023,8.3635829373,0.0,0.0,yes,no
Cpptraj--mch,615.634107601,605.924008525,14.9085799845,,,,,-5.1984809085,,,-16.8118195452,11.6133386377,-18.6004164838,-23.6277777103,5.0273612265,1.7884858037,7.0555862598,-2.0282250331,3.8510364826,-9.0583353888,-18.4204788033,-29.8636151845,11.4431363814,-0.4565400532,-4.3916065242,8.6991830603,0.0,0.0,yes,no
Cpptraj--mha,628.401679345,605.924008525,22.6779531501,,,,,-0.2002823301,,,-15.0213797467,14.8210974166,-16.8102557336,-41.3690170515,24.5587613179,1.7884858042,26.8964580558,-2.3376967378,4.8597547881,-29.8606667754,-16.3681050631,-28.3336835271,11.9655784639,-0.5694246902,-4.0004392526,9.4296187312,0.0,0.0,yes,no
Cpptraj--mo3,564.775964475,605.924008525,-35.1733667044,,,,,-5.9746773456,,,-24.6738294202,18.6991520746,-26.4626808071,-57.1542557717,30.6915749646,1.7884858046,33.1724113865,-2.4808364218,1.4487059699,-36.5539807861,-22.0489809558,-47.8802760919,25.8312951353,0.300880568,0.078289572,1.0652176206,0.0043182103,0.0,yes,no
Cpptraj--mo4,567.167057096,605.924008525,-33.4186899512,,,,,-5.3382614778,,,-23.8546563704,18.5163948916,-25.6444101223,-60.9095077892,35.2650976669,1.7884858046,37.665930175,-2.400832508,3.4357106261,-46.3803591217,-17.9648592943,-43.0798291123,25.1149698187,0.3335590194,-2.0006568799,5.0962140928,0.0065943945,0.0,yes,no
Cpptraj--mp3,561.403524709,605.924008525,-39.773268776,,,,,-4.74721504,,,-24.0041749168,19.2569598768,-25.7922978857,-64.3888471565,38.5965492708,1.7884858044,40.9498116893,-2.3532624184,3.1366721683,-50.669099344,-16.8564199805,-42.4147429438,25.5583229641,0.4104785179,-2.1570043899,4.8667716825,0.0164263579,0.0,yes,no
Cpptraj--mp4,561.413182625,605.924008525,-39.0255114097,,,,,-5.4853144903,,,-22.3891338595,16.9038193682,-24.1778219874,-53.251786541,29.0739645536,1.7884858044,31.4027423628,-2.328777809,1.5299377755,-34.9150709518,-19.8666533643,-43.0320097294,23.1653563657,0.3985150215,1.7988978751,-0.67874965,0.0112745301,0.0,yes,no
Cpptraj--oam,660.954718201,605.924008525,56.4446436835,,,,,-1.4139340075,,,-18.9232024309,17.5092684234,-20.7121884646,-32.8484347887,12.1362463241,1.7884858046,14.6999211898,-2.5636748655,2.4538624818,-13.8525123691,-21.4497849008,-35.878173155,14.4283882536,-0.3989224536,-2.3098776884,5.1626626244,0.0,0.0,yes,no
Cpptraj--pb3,574.933166984,605.924008525,-21.8523146545,,,,,-9.1385268865,,,-28.1557157398,19.0171888533,-29.9439925174,-66.5440822708,36.6000897534,1.7884858038,39.1717076126,-2.5716178591,3.0361845229,-49.6483526603,-19.9319141338,-46.8944663427,26.9625522093,0.2949082031,-2.3635046859,5.1053558972,-0.0005748909,0.0,yes,no
Cpptraj--pb4,581.216281985,605.924008525,-17.3325923071,,,,,-7.3751342329,,,-26.6594495287,19.2843152968,-28.4476718816,-62.8259565411,34.3782846595,1.7884858038,36.9616089626,-2.5833243031,2.3581759653,-46.4856398024,-18.698492705,-45.0293178913,26.3308251863,0.3526862692,-1.0562798295,3.0612086957,0.0005608308,0.0,yes,no
Cpptraj--pha,560.811870056,605.924008525,-41.0817820379,,,,,-4.0303564311,,,-21.1614902205,17.1311337884,-22.949784832,-55.818623036,32.868838204,1.788485804,35.0421177827,-2.1732795785,2.3980103068,-41.1799906068,-17.0366427359,-41.123753,24.087110264,0.4514456235,0.8404055134,1.0952073676,0.0109518026,0.0,yes,no
Cpptraj--pnt,565.569936182,605.924008525,-35.9604726948,,,,,-4.3935996482,,,-20.9350250026,16.5414253543,-22.7225951083,-57.7407731455,35.0181780372,1.7884858039,37.027297336,-2.0091192988,2.4138970609,-49.1449044264,-11.0097657802,-32.0852765315,21.0755107515,0.4781264614,-1.0504139808,2.9824070519,0.0037775293,0.0,yes,no
Cpptraj--rim,671.363636578,605.924008525,70.89649319,,,,,-5.456865137,,,-18.2091000681,12.7522349311,-19.9982865571,-24.4770247376,4.4787381805,1.7884858045,6.7542117106,-2.27547353,7.9974403029,-6.4438072587,-26.0306577817,-40.0239210903,13.9932633094,-0.4825587626,-4.9033441756,13.3833432422,0.0,0.0,yes,no
