run, type, Ident, FE, AvgE, S, U, W, HO_PE, PB, SA, Valence, Coulomb, VdW, VdW6, VdW12, Bond, Angle, Pdihed, Idihed, Tether, RunTime, WallTime, Converged, Crashed
vm2,complex,Cpptraj--ben,587.104565975,382.116979357,204.987586618,308.293674325,-68.3599313347,142.184621397,-75.056109339,6.6961780043,166.048045333,163.715902192,-21.4702732,-210.285456947,188.815183746,6.273238772,17.2392810742,142.513032151,0.0224933358,0.0,1261.78,1262.54,yes,no
vm2,complex,Cpptraj--cbu,621.637010892,418.571737824,203.065273068,315.826753805,-38.5453560141,141.290378495,-45.3882129086,6.8428568944,167.97541398,167.373161392,-19.5218215682,-186.84632439,167.324502822,5.294408297,13.048211061,149.632794622,0.0,0.0,1420.76,1421.76,yes,no
vm2,complex,Cpptraj--chp,647.449739378,424.620864998,222.828874379,313.075664864,-37.7933551792,149.338564611,-44.6884862032,6.895131024,175.526783773,164.108491321,-26.55961023,-206.86956196,180.30995173,5.4662682357,13.2127561762,156.847759361,0.0,0.0,1832.81,1833.96,yes,no
vm2,complex,Cpptraj--coc,662.034099519,433.186248025,228.847851494,318.61380902,-37.4488361863,152.021293317,-44.2800041227,6.8311679364,183.208144689,163.318309042,-27.9126447113,-211.842091796,183.929447085,5.4150612907,14.2571503761,163.535933022,0.0,0.0,1457.81,1463.42,yes,no
vm2,complex,Cpptraj--cpe,632.061076112,422.489247999,209.571828113,316.76342714,-38.2472604079,143.9731072,-45.0668266276,6.8195662197,175.452201881,166.116932354,-24.8057070949,-196.153591788,171.347884694,5.2956599757,16.1794219621,153.977119944,0.0,0.0,1798.26,1801.67,yes,no
vm2,complex,Cpptraj--ham,644.602788017,420.784385662,223.818402355,342.900763394,-72.348847966,150.232807513,-79.2189643733,6.8701164073,165.196761727,200.107482508,-22.403480841,-196.733500633,174.330019792,5.1320571558,11.0411315954,149.023572976,0.0,0.0,1462.96,1468.75,yes,no
vm2,complex,Cpptraj--hep,581.770587518,360.261221658,221.509365859,278.258759387,-67.334236336,149.338564611,-74.1010902881,6.7668539521,169.601574803,132.784574177,-24.1273895926,-211.154386039,187.026996446,5.8868321516,14.6383484179,149.069596188,0.0067980457,0.0,1579.06,1579.96,yes,no
vm2,complex,Cpptraj--hex,573.22459731,358.067431316,215.157165995,281.837750209,-70.4245201447,146.655835906,-77.1627745217,6.738254377,168.627997148,136.085593341,-22.8758402799,-206.953773633,184.077933353,5.9286099005,15.4962308815,147.199303885,0.0038524812,0.0,1591.36,1592.33,yes,no
vm2,complex,Cpptraj--m4c,633.820842503,411.195011478,222.625831025,299.599721492,-37.7432484198,149.338564611,-44.5017666861,6.7585182663,169.019286053,157.231643372,-26.6512079324,-208.245717436,181.594509503,5.4868345456,12.3888748207,151.143576687,0.0,0.0,1404.75,1405.7,yes,no
vm2,complex,Cpptraj--m4t,634.759706955,413.919188015,220.840518939,301.885538453,-37.3049260318,149.338564611,-44.1438804987,6.8389544669,170.16358405,157.575014341,-25.8530599378,-202.879670938,177.026611,5.1719779157,10.6413895363,154.350216598,0.0,0.0,1865.19,1873.17,yes,no
vm2,complex,Cpptraj--mch,615.634107601,395.246521008,220.387586594,283.025568058,-37.1176293227,149.338564611,-43.9470667019,6.8294373792,171.029084624,137.48396571,-25.4874822751,-204.098370389,178.610888114,5.1510517531,10.5306676944,155.347365176,0.0,0.0,2231.86,2239.81,yes,no
vm2,complex,Cpptraj--mha,628.401679345,399.604793268,228.796886077,316.740075232,-70.0503641495,152.915536219,-76.8756000611,6.8252359116,168.518026261,173.135490594,-24.9134416218,-200.5898995,175.676457878,5.044341978,11.4085004555,152.065183827,0.0,0.0,1496.39,1497.21,yes,no
vm2,complex,Cpptraj--mo3,564.775964475,350.393975696,214.381988779,274.767096467,-72.8166679146,148.44432171,-79.5193921826,6.702724268,168.469657105,134.315733037,-28.0182936752,-221.394099839,193.375806163,5.9457655489,17.237469321,145.281382162,0.0050400733,0.0,1658.45,1660.78,yes,no
vm2,complex,Cpptraj--mo4,567.167057096,352.601349628,214.565707467,271.838253785,-67.6809793852,148.44432171,-74.4496510452,6.76867166,170.467316217,125.262851157,-23.8919135896,-216.474571819,192.58265823,5.9836759313,15.1635046097,149.312748986,0.0073866899,0.0,1829.84,1830.97,yes,no
vm2,complex,Cpptraj--mp3,561.403524709,346.229358607,215.174166102,263.647597061,-64.9678887476,147.550078808,-71.7107574627,6.7428687151,169.280282076,117.795482149,-23.4281671636,-214.720096152,191.291928989,5.9745799967,14.2009378161,149.086677374,0.0180868885,0.0,1816.17,1817.28,yes,no
vm2,complex,Cpptraj--mp4,561.413182625,348.180855571,213.232327053,274.979410379,-74.3485353971,147.550078808,-81.057195812,6.708660415,167.674205352,133.704868635,-26.3996636075,-215.270195192,188.870531585,5.9636475803,18.1560936551,143.541489398,0.012974719,0.0,1521.87,1522.81,yes,no
vm2,complex,Cpptraj--oam,660.954718201,425.694909334,235.259808867,350.131467169,-80.0350074993,155.598264925,-86.8341285118,6.7991210126,166.077732936,214.173486898,-30.1197526644,-208.76934107,178.649588405,5.2102461006,12.6635915022,148.203895333,0.0,0.0,1712.07,1713.09,yes,no
vm2,complex,Cpptraj--pb3,574.933166984,353.369569375,221.563597609,269.15706817,-66.0200162771,150.232807513,-72.6948172545,6.6748009774,169.882375169,125.502938258,-26.2282452573,-222.565208194,196.336962937,5.9971928597,14.4638764239,149.419152284,0.0021536012,0.0,1548.89,1554.73,yes,no
vm2,complex,Cpptraj--pb4,581.216281985,360.516435501,220.699846485,276.655965046,-66.3724112289,150.232807513,-73.0981256897,6.7257144608,168.676833783,133.182364896,-25.2032336339,-218.547957792,193.344724158,5.9767024793,15.405060968,147.29354393,0.0015264058,0.0,1593.92,1596.47,yes,no
vm2,complex,Cpptraj--pha,560.811870056,351.250510962,209.561359093,278.545307489,-72.1612944892,144.867350102,-78.8351906837,6.6738961946,168.494203296,133.767185555,-23.7160813618,-212.050134321,188.334052959,6.0092768835,17.1575905481,145.314790069,0.0125457949,0.0,1427.39,1428.18,yes,no
vm2,complex,Cpptraj--pnt,565.569936182,356.737346539,208.832589643,282.933886346,-70.1688122541,143.9731072,-76.9214381694,6.7526259153,169.119999011,133.868172579,-20.0542852441,-201.239813312,181.185528068,5.9642745677,15.4762565909,147.675167426,0.0043004265,0.0,1649.29,1655.24,yes,no
vm2,complex,Cpptraj--rim,671.363636578,421.235075915,250.128560663,346.947296008,-86.6757808067,160.963722336,-93.6987741632,7.0229933565,187.176154215,187.208498719,-27.4373569257,-228.009219696,200.571862771,6.2655092076,12.9013091857,168.009335822,0.0,0.0,1602.32,1603.35,yes,no
