run, type, Ident, FE, AvgE, S, U, W, HO_PE, PB, SA, Valence, Coulomb, VdW, VdW6, VdW12, Bond, Angle, Pdihed, Idihed, Tether, RunTime, WallTime, Converged, Crashed
vm2,ligand,ben,-14.8900747247,-20.7799989561,5.8899242315,32.9232074152,-64.4267781593,10.7309148224,-66.2389735479,1.8121953886,2.6570683169,26.007111854,4.2590272443,-5.2842516748,9.5432789191,0.4172225008,2.2398374204,8.645e-07,7.5312e-06,0.0,1.37,1.41,yes,no
vm2,ligand,cbu,15.8765505667,6.9354021562,8.9411484105,-0.0436013279,-2.8576607854,9.8366719205,-4.4567605666,1.5990997812,6.5414194064,-7.5878001968,1.0027794625,-2.2034445253,3.2062239878,0.0627242819,0.8861025819,5.5925925426,0.0,0.0,3.48,3.82,yes,no
vm2,ligand,chp,45.4753289238,21.0038343053,24.4714946184,5.0874620995,-1.968486597,17.8848580373,-3.9701125324,2.0016259354,12.2005244561,-9.2438913413,2.1308289847,-9.3531167035,11.4839456881,0.2335365531,2.8573881226,9.1095997804,0.0,0.0,28.46,29.55,yes,no
vm2,ligand,coc,60.2641564017,29.9108092519,30.3533471497,11.3289729496,-1.985739897,20.5675867429,-4.1196991061,2.1339592092,17.1588481353,-8.5904602075,2.7605850217,-12.6109355331,15.3715205549,0.4243015744,5.0444568646,11.6900896964,0.0,0.0,28.59,28.95,yes,no
vm2,ligand,cpe,29.6429484373,15.4425107807,14.2004376566,5.5034620557,-2.5803435307,12.5194006261,-4.3198807864,1.7395372556,14.0409273891,-9.12922698,0.5917616466,-3.426489526,4.0182511726,0.0577105596,3.9942808036,9.9889360259,0.0,0.0,9.94,10.17,yes,no
vm2,ligand,ham,36.7271478937,11.0140429295,25.7131049642,47.6979915836,-55.4627418702,18.7791009392,-57.6040326377,2.1412907675,2.2557978984,44.8858670949,0.5563265903,-5.5663268792,6.1226534695,0.1572615184,0.6600539805,1.4384823995,0.0,0.0,25.46,25.88,yes,no
vm2,ligand,hep,-17.6454658327,-35.8065730911,18.1611072584,6.8205561936,-60.5118710391,17.8848580373,-62.8259357813,2.3140647421,7.5247209779,-1.5286422758,0.8244774915,-7.10703599,7.9315134815,0.130367988,2.4765536841,4.9171515013,0.0006478045,0.0,17.99,18.56,yes,no
vm2,ligand,hex,-26.7024619834,-40.4037849082,13.7013229248,6.7818014761,-62.3860243773,15.2021293317,-64.4888385269,2.1028141496,6.9621851174,-0.8388060403,0.6584223991,-5.7746762909,6.43309869,0.1061398337,2.4032172824,4.4522605773,0.000567424,0.0,8.0,8.14,yes,no
vm2,ligand,m4c,32.9909893242,7.9534358747,25.0375534494,-8.1319723421,-1.7994417398,17.8848580373,-3.8397721917,2.0403304519,5.9907377268,-16.2463369814,2.1236269126,-8.8403804395,10.964007352,0.1933063827,0.4907914394,5.3066399047,0.0,0.0,19.43,19.91,yes,no
vm2,ligand,m4t,33.3751227363,7.9314397699,25.4436829664,-8.1440201366,-1.8093973528,17.8848580373,-3.8281436459,2.0187462931,5.9933661027,-16.2661451159,2.1287588767,-8.8845550075,11.0133138841,0.1950979584,0.4997358165,5.2985323277,0.0,0.0,20.67,20.98,yes,no
